lines,highlight,time
4,TRUE,22.3
1,TRUE,14
3,TRUE,13.8
1,TRUE,7.71
1,TRUE,6.5
4,TRUE,5.08
1,TRUE,4.73
4,TRUE,4.7
2,TRUE,4.7
1,TRUE,4.5
4,TRUE,4.33
2,TRUE,4.2
4,TRUE,4
3,TRUE,3.9
1,TRUE,3.43
1,TRUE,3
1,TRUE,3
1,TRUE,3
4,TRUE,3
2,FALSE,136
3,FALSE,94
2,FALSE,80
4,FALSE,75
4,FALSE,60
4,FALSE,55
3,FALSE,54.3
4,FALSE,48
4,FALSE,46.7
4,FALSE,44
3,FALSE,42
4,FALSE,41
4,FALSE,41
4,FALSE,41
4,FALSE,40
2,FALSE,40
2,FALSE,37.9
4,FALSE,36.47
2,FALSE,35.08
2,FALSE,33
2,FALSE,28
3,FALSE,26.43
4,FALSE,26.14
3,FALSE,26
4,FALSE,25.26
4,FALSE,25.2
2,FALSE,23
4,FALSE,22
4,FALSE,21.37
2,FALSE,21.2
3,FALSE,21.2
2,FALSE,21.13
4,FALSE,21
2,FALSE,18.4
2,FALSE,18
3,FALSE,18
2,FALSE,17.25
3,FALSE,17.05
2,FALSE,17
1,FALSE,16.9
2,FALSE,16
2,FALSE,16
3,FALSE,16
1,FALSE,16
4,FALSE,15.13
2,FALSE,15
3,FALSE,15
3,FALSE,14.38
2,FALSE,13.65
3,FALSE,13
3,FALSE,13
3,FALSE,12.96
3,FALSE,12.29
3,FALSE,12
3,FALSE,12
4,FALSE,11
2,FALSE,10.19
3,TRUE,3
1,TRUE,2.9
2,TRUE,2.84
3,TRUE,2.76
4,TRUE,2.7
1,TRUE,2.52
4,TRUE,2.46
2,TRUE,2.36
3,TRUE,2.24
1,TRUE,2.2
1,TRUE,2
1,TRUE,2
4,TRUE,2
4,TRUE,2
4,TRUE,2
4,TRUE,2
2,TRUE,2
2,TRUE,2
2,TRUE,2
3,FALSE,9
1,FALSE,8.9
1,FALSE,8
1,FALSE,7.23
1,FALSE,7.03
3,FALSE,7
1,FALSE,7
1,FALSE,6.46
1,FALSE,6
1,FALSE,6
1,FALSE,6
1,FALSE,5.97
1,FALSE,5.25
1,FALSE,5.06
1,FALSE,5
1,FALSE,5
1,FALSE,4
1,FALSE,3
1,FALSE,3
3,TRUE,2
3,TRUE,2
3,TRUE,2
3,TRUE,1.97
2,TRUE,1.84
3,TRUE,1.46
2,TRUE,1.45
3,TRUE,1.36
2,TRUE,1.32
1,TRUE,1.3
4,TRUE,1.3
1,TRUE,1.28
3,TRUE,1.23
4,TRUE,1.16
1,TRUE,1
4,TRUE,1
4,TRUE,1
4,TRUE,1
4,TRUE,1
2,TRUE,1
2,TRUE,1
2,TRUE,1
2,TRUE,1
2,TRUE,1
2,TRUE,1
2,TRUE,1
3,TRUE,1
3,TRUE,1
3,TRUE,1
3,TRUE,1
3,TRUE,1
2,TRUE,0.86
3,TRUE,0.8
1,TRUE,0.5
1,TRUE,0.5
4,TRUE,0.5
2,TRUE,0.5
3,TRUE,0.5
