Date,Open,High,Low,Close,Volume,OpenInt
3/3/2008,45.157,45.648,44.61,45.479,822758,0
3/4/2008,44.869,45.655,44.508,45.051,675897,0
3/5/2008,44.907,45.954,44.907,45.671,729732,0
3/6/2008,45.769,45.769,43.566,43.591,699283,0
3/7/2008,43.644,44.546,43.022,44.303,831857,0
3/10/2008,44.478,44.515,43.469,43.674,983161,0
3/11/2008,45.012,46.512,44.326,46.512,755166,0
3/12/2008,46.222,47.087,45.535,45.535,474902,0
3/13/2008,45.297,46.445,44.188,46.069,657789,0
3/14/2008,46.874,46.874,44.361,45.136,805030,0
3/17/2008,44.737,45.695,44.423,45.412,1334812,0
3/18/2008,46.819,47.429,45.778,47.408,1012581,0
3/19/2008,47.223,48.197,47.048,47.048,487048,0
3/20/2008,47.239,49,47.133,48.617,694342,0
3/24/2008,49.795,50.186,49.198,49.71,502175,0
3/25/2008,49.801,50.016,48.748,49.458,984092,0
3/26/2008,48.977,49.267,48.38,48.509,571228,0
3/27/2008,49.826,49.826,48.004,48.112,880068,0
3/28/2008,49.3,49.3,47.429,47.545,642278,0
3/31/2008,48.328,48.831,47.508,47.731,534527,0
4/1/2008,48.761,50.444,48.402,50.444,5067288,0
4/2/2008,50.596,50.661,49.558,50.201,631808,0
4/3/2008,50.462,51.348,49.878,51.348,665183,0
4/4/2008,51.775,51.775,50.427,50.536,1469929,0
4/7/2008,51.401,51.401,50.048,50.07,890518,0
4/8/2008,50.462,50.462,49.727,50.002,591497,0
4/9/2008,49.917,50.055,48.731,48.748,674286,0
4/10/2008,48.731,49.55,48.371,49.22,753716,0
4/11/2008,48.548,49.228,48.44,48.617,551944,0
4/14/2008,48.486,49.083,48.256,48.335,536957,0
4/15/2008,48.668,48.893,48.256,48.823,285840,0
4/16/2008,49.465,50.804,49.146,50.804,468100,0
4/17/2008,50.498,51.002,50.093,50.987,523643,0
4/18/2008,51.723,51.922,50.583,50.695,1064493,0
4/21/2008,50.768,50.774,50.138,50.322,402216,0
4/22/2008,50.291,50.47,49.795,50.201,683363,0
4/23/2008,50.201,51.164,50.022,50.827,906258,0
4/24/2008,50.904,52.02,50.736,51.84,1158566,0
4/25/2008,52.64,52.64,51.561,52.127,593893,0
4/28/2008,52.288,52.288,51.677,52.058,914475,0
4/29/2008,51.555,51.99,51.187,51.493,1053652,0
4/30/2008,51.936,52.005,50.637,50.774,822872,0
5/1/2008,50.835,51.865,50.427,51.865,1019760,0
5/2/2008,52.573,52.573,51.485,51.822,1714668,0
5/5/2008,51.797,51.822,51.18,51.677,386232,0
5/6/2008,52.051,52.058,51.096,52.037,440187,0
5/7/2008,51.975,52.02,50.427,50.62,648517,0
5/8/2008,51.133,51.133,49.955,50.314,547749,0
5/9/2008,50.262,50.56,49.779,50.039,447333,0
5/12/2008,50.194,51.241,50.062,51.241,375964,0
5/13/2008,51.44,51.485,50.835,51.448,401422,0
5/14/2008,51.936,52.051,51.555,51.768,388150,0
5/15/2008,51.914,52.393,51.416,52.393,542424,0
5/16/2008,52.402,52.402,51.736,52.12,423190,0
